Rozmiar	Operacja	DynamicArray	LinkedList
10	Dodawanie na pocz¹tek	570	470
10	Dodawanie na koniec	270	430
10	Dodawanie na indeks 5	290	430
10	Usuwanie z indeksu 5	280	380
10	Usuwanie z pocz¹tku	270	390
10	Usuwanie z koñca	250	410
10	Wyszukiwanie elementu (istniej¹cego)	270	280
10	Wyszukiwanie elementu (nieistniej¹cego)	290	280
20	Dodawanie na pocz¹tek	340	420
20	Dodawanie na koniec	240	430
20	Dodawanie na indeks 10	270	430
20	Usuwanie z indeksu 10	280	490
20	Usuwanie z pocz¹tku	310	430
20	Usuwanie z koñca	250	460
20	Wyszukiwanie elementu (istniej¹cego)	270	260
20	Wyszukiwanie elementu (nieistniej¹cego)	290	300
50	Dodawanie na pocz¹tek	340	400
50	Dodawanie na koniec	230	530
50	Dodawanie na indeks 25	300	540
50	Usuwanie z indeksu 25	300	470
50	Usuwanie z pocz¹tku	410	410
50	Usuwanie z koñca	260	480
50	Wyszukiwanie elementu (istniej¹cego)	310	310
50	Wyszukiwanie elementu (nieistniej¹cego)	360	390
100	Dodawanie na pocz¹tek	520	410
100	Dodawanie na koniec	270	660
100	Dodawanie na indeks 50	390	500
100	Usuwanie z indeksu 50	370	550
100	Usuwanie z pocz¹tku	520	410
100	Usuwanie z koñca	260	630
100	Wyszukiwanie elementu (istniej¹cego)	370	400
100	Wyszukiwanie elementu (nieistniej¹cego)	480	540
200	Dodawanie na pocz¹tek	710	420
200	Dodawanie na koniec	250	950
200	Dodawanie na indeks 100	450	680
200	Usuwanie z indeksu 100	530	710
200	Usuwanie z pocz¹tku	720	420
200	Usuwanie z koñca	260	840
200	Wyszukiwanie elementu (istniej¹cego)	450	530
200	Wyszukiwanie elementu (nieistniej¹cego)	630	810
500	Dodawanie na pocz¹tek	1400	500
500	Dodawanie na koniec	300	2200
500	Dodawanie na indeks 250	960	1630
500	Usuwanie z indeksu 250	850	1520
500	Usuwanie z pocz¹tku	1380	490
500	Usuwanie z koñca	280	1840
500	Wyszukiwanie elementu (istniej¹cego)	770	1230
500	Wyszukiwanie elementu (nieistniej¹cego)	1130	2170
1000	Dodawanie na pocz¹tek	2610	580
1000	Dodawanie na koniec	400	4770
1000	Dodawanie na indeks 500	1350	3270
1000	Usuwanie z indeksu 500	1380	2930
1000	Usuwanie z pocz¹tku	2580	640
1000	Usuwanie z koñca	440	4160
1000	Wyszukiwanie elementu (istniej¹cego)	1300	2620
1000	Wyszukiwanie elementu (nieistniej¹cego)	3050	5780
2000	Dodawanie na pocz¹tek	5750	850
2000	Dodawanie na koniec	890	9270
2000	Dodawanie na indeks 1000	3210	6320
2000	Usuwanie z indeksu 1000	3140	6130
2000	Usuwanie z pocz¹tku	5620	1530
2000	Usuwanie z koñca	1470	9890
2000	Wyszukiwanie elementu (istniej¹cego)	3120	5580
2000	Wyszukiwanie elementu (nieistniej¹cego)	4630	11010
3000	Dodawanie na pocz¹tek	7980	810
3000	Dodawanie na koniec	1250	15680
3000	Dodawanie na indeks 1500	3970	8920
3000	Usuwanie z indeksu 1500	4400	9170
3000	Usuwanie z pocz¹tku	7700	1550
3000	Usuwanie z koñca	1280	13330
3000	Wyszukiwanie elementu (istniej¹cego)	3840	8550
3000	Wyszukiwanie elementu (nieistniej¹cego)	6740	16760
4000	Dodawanie na pocz¹tek	9910	760
4000	Dodawanie na koniec	1420	22190
4000	Dodawanie na indeks 2000	5430	12860
4000	Usuwanie z indeksu 2000	6060	14620
4000	Usuwanie z pocz¹tku	9290	1370
4000	Usuwanie z koñca	1540	18250
4000	Wyszukiwanie elementu (istniej¹cego)	4900	11860
4000	Wyszukiwanie elementu (nieistniej¹cego)	8230	23120
5000	Dodawanie na pocz¹tek	11910	850
5000	Dodawanie na koniec	1660	30410
5000	Dodawanie na indeks 2500	6100	16140
5000	Usuwanie z indeksu 2500	6480	16000
5000	Usuwanie z pocz¹tku	11680	1510
5000	Usuwanie z koñca	1530	24250
5000	Wyszukiwanie elementu (istniej¹cego)	5930	16190
5000	Wyszukiwanie elementu (nieistniej¹cego)	9690	29710
7500	Dodawanie na pocz¹tek	17490	800
7500	Dodawanie na koniec	1880	47990
7500	Dodawanie na indeks 3750	8450	24750
7500	Usuwanie z indeksu 3750	9730	25440
7500	Usuwanie z pocz¹tku	16190	1500
7500	Usuwanie z koñca	1500	38710
7500	Wyszukiwanie elementu (istniej¹cego)	8370	23590
7500	Wyszukiwanie elementu (nieistniej¹cego)	13770	45290
10000	Dodawanie na pocz¹tek	22850	780
10000	Dodawanie na koniec	1400	57730
10000	Dodawanie na indeks 5000	10460	31680
10000	Usuwanie z indeksu 5000	11300	32110
10000	Usuwanie z pocz¹tku	22110	1460
10000	Usuwanie z koñca	1460	50520
10000	Wyszukiwanie elementu (istniej¹cego)	9690	30150
10000	Wyszukiwanie elementu (nieistniej¹cego)	18120	60680
